Year,Month,Title,Review Text,Rating
2024,September,I was given a cake on a trip which happened to fall on my birthday month.,This is second time SQ celebrates my birthday on airplane. Very touching and appreciate. I was given a cake and birthday card.,4.0
2024,September,"Worst experience ever, don‘t fly with them","Cairns-Singapore; Singapore-Frankfurt. The first flight had a delay of more than 1 hour and so I missed my connecting flight. They said my next flight wasn’t willing to wait 5 more minutes. Singapore Airlines than rebooked me to another flight, through which i had to change the…",1.0
2024,October,SQ should be ashamed,For the second time SQ changes the flight from SQ to Scoot (not the passenger's choice). Last time was Business which was terrible and this time economy. Problems? Paid for an SQ flight. If I wanted to fly Scoot I would have saved money by booking a Scoot flight. Could not…,1.0
2024,October,Better airlines to be travelled with,"I cannot recommend- im frustrated with the very high price i paid for my trip and the poor lounges, poor partners, horrible food that comes out very lateZzz -our friends in economy got better service and offered snacks - our staff far too busy. Lunch took over twobhours to be…",1.0
2024,September,Outstanding,We had a fantastic flight service impeccable staff could not do enough for you will definitely fly with Singapore airlines again,4.0
2024,August,"Excellent Economy Class experience, but catering is disappointing","Our flight from Singapore to Bangkok departs from Singapore Changi Airport Terminal 2. Singapore Airlines operates Rows 3 through 6 for check-in at the terminal. Row 5 is dedicated to Economy Class passengers, comprising a few counters for passengers who want an in-person…",5.0
2024,August,Saved me in a time of trouble,I have always appreciated that Singapore has its staff clean the toilets during the flight.  It is a handy service as I would hate to be stuck on a long journey without this.  I was in a bind when my connection between two other airlines was lost and Singapore was asked to help…,4.0
2024,August,disgusting food,"A great flight, service great, lounge great.  Breakfast the worst possible, scrambled eggs green and hard, when I mentioned to staff the said overcooked.  it was green, smelly, tasted terrible and hard.  Told it was overcooked.  a replacement offered but still green,  I am a…",2.0
2024,September,NOT again with SQ,"i being traveling with SQ since 2000 and this time one of the worst services i ever receive from SQ flight crew and customer service SQ in-flight service: The crew forgot to service me late dinner claiming i was sleeping SQ  luggage lost, wasted my time, delayed flight affected…",1.0
2024,September,Unfair trade practice by not offering online fare for change,"At the time of buying the ticket, it was indicated $250 and the difference will be charged for changes.  But when i tried to change, fare available in online booking was not offered for change but exhorbitant fare (about double the fare as on line) was made as charge for change…",1.0
2024,September,Once great,Been flying SQ for decades and it was my top pick but the business class experience has taken a hit. The days when a staff member would seat you and you were introduced to the staff member looking after you is gone as are the little extras like a well equipped amenities kit. Now…,3.0
2024,September,Flight off boarding debarcle,"We were flying from Melbourne to Dublin via Singapore and Copenhagen, the flight from Singapore was late leaving which meant we landed in Copenhagen 30 minutes before our next flight to Dublin was supposed to leave, we made it to the gate before boarding had commenced only to be…",1.0
2024,September,Delayed flights experience,"We booked 02  tickets phuket to Singapore on 18th September .flights was delayed by 2 hours due to bad whether conditions.  Ait line staff offerd us to vouchers worth 400 baht for our dinner.  There was a transit in Singapore to Colombo.  Flights had departed, When we reached…",5.0
2024,September,Awful as they have worked with Scoot,"It cooperates with Scoot flight, but two systems are not well integrated The scoot flight often change or cancel the flight even after you have already book it, and you cannot get refund without paying 350 AUD (Even after your flight has been delayed for 8 hours by them!) No…",2.0
2024,August,Best Company to Fly,"The best Company Ever. Me and my Wife we traveled from London to Singapore. Amazing. Everything was perfect. The sympathy, love he flight attendants, everything. For a Journey of 13.5 hours, the comfort was great. Thanks for the experience.",5.0
2024,September,Terrible,Pay an 1750 Upgrade fee for premium What a joke worse than economy which is horrible. Do not even think about using this airlines.I would give it minus stars if I could!,1.0
2024,April,Consistent Service,"I have always enjoyed flying with Singapore Airlines. Since moving to India, I have regularly used their service between Mumbai to Manila via Singapore.   Time - majority of the flights I took were always on time. Staff - inflight staff are very helpful and accommodating. They…",5.0
2024,September,Missed Connection. Free Hotel room!,"The flights (Medan->SIN, SIN-PER) were the usual efficient flights with good food.  But the OUTSTANDING bonus was the free hotel (for a few hrs) as we missed the connection in SIN. Our SQ flight from Medan was late ; possibly due to stormy weather in Medan (??)  To be honest, I…",5.0
2024,May,Still a great airline although not fond of some digital initiatives,"Took SQ a couple of times for both leisure and business, long and short haul, most recently in May. Overall, still great service, reasonably good food, wide selection of in-flight entertainment, and reliable departures/arrivals. But not too fond of certain ""digitalization""…",5.0
2024,July,Hard to fault - excellent service.,Flight 1 - SQ242 - Sydney to Singapore - A350-900   First time on P/Econ and with Singapore for some considerable time.  We were travelling from Syd via Singapore to NYC.  We had a 12 hr stop (air side) in the Aerotel at Changi between flights.   The flight from Syd left pretty…,5.0
2024,August,Not really value for money in premium economy.,"Flew Singapore Airlines on code share with Air New Zealand between Singapore and Johannesburg return.  Premium economy was not as good on these flights as the two on Air NZ - less room, less comfy seats, food not as good and no amenity kit provided.  Disappointing really.",3.0
2024,September,Always A Pleasure,"Always a pleasure to fly with Singapore Air, lovely staff on all three flights. Food was really good and entertainment was fine. Cabins were a bit cool and I found myself using 2 blankets to keep the chill away.",4.0
2024,September,"Unorganised, Overpriced & Poor Service.","Made us miss our connecting flight which they claimed was air traffics fault, when they actually arrived in LDN late. This meant waiting in Singapore four our connecting flight for eight hours, to then miss our engagement meal in Bali and we spent 4 hours in   our first Bali…",1.0
2024,September,Best airline company ever......,"Amazing airline, staff are very attentive and friendly, great in flight entertainment system, very professional, could not rate any more highly...",5.0
2024,September,Not a good option for someone with diet restrictions - Indian Hindu Vegetarian,Singapore airlines has great name but left a lot for wanting for inflight comfort specially when it came to meals. I pre ordered vegetarian meals as I am an Indian Hindu vegetarian but the flight had only 2 in flight meal service for a 16 hour long flight rather than 3 what I am…,2.0
2024,September,Virgin Velocity Gold members beware!!,"If you are Virgin Velocity  gold member and are travelling with family,  be warned, only one of your family get singapore airlines lounge access. So the kids sit outside the lounge on the floor? Or the family is split up or you all sit in public toilets.",2.0
2024,August,Great,"Lovely attentive and ultra friendly staff on board. Food great but too much for me. Comfortable seating, nothing was too much trouble. Highly recommend but very expensive.",5.0
2024,April,Serious issues with luggage,"Horrible service, I was denied during chek-in in Frankfurt  by rude and unprofessional staff member of the airlines called Frau Reid, to bring the diving equipment neither as cabin nor as registered luggage. She did not have a clue that it is allowed equipment (pony tank with no…",1.0
2024,September,Economic class customers are unwanted,"We booked 3 tickets, 2 adults and 1 infant(my son is now 14 months.) for october around april. We booked it 4 months in advance so that we dont miss out on the bassinet seat for the trips. Everything was booked and was as we expected. Then the airlines decided to change the…",1.0
2024,September,Singapore Airlines (SQ) Customer service number +1(800) 580-3770,"I had an amazing experience flying with Singapore Airlines (SQ) The service was exceptional, with attentive staff, comfortable seats, and delicious meals. For assistance, you can reach their toll-free number at +1(800) 580-3770 Singapore located at Singapore Changi Airport…",5.0
2024,August,Planes with wide seats and plenty of legroom with excellent attentive staff.,"Singapore Airlines are now officially my go to choice for scheduled flights to Asia. The staff are excellent, very attentive and best of all the economy seats have probably the most legroom and are the widest seat available, a must for long haul flights.",5.0
2023,October,To gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooood,Best airlines ever I went on Singapore Airlines the food customer service all good the staff were very nice the economy felt like premium economy.,5.0
2024,August,Great experience!,"I have used many different airlines in the past but only a few came close to the service that was offered by Singapore Airlines. As I have never been to Asia before, it was not easy to distinguish between low-budget airlines like AirAsia, ThaiLion or ThaiVietJet and high quality…",5.0
2024,September,WORST CUSTOMER SERVICE IN AVIATION INDUSTRY - AVOID,"Probably the worst experience in aviation I have had. cancelled my flight, put me on an 6am flight which now resulted in a 4hr wait. No offer of compensation for the fact that I have to get a taxi instead of public transport and that I have to wait 4 hours in the airport as they…",1.0
2024,August,Very good economy class flight,"Recently flew with Singapore Airlines from Hong Kong to Perth, Australia with layover in Singapore. Flight was booked online, check-in, flight boardings and luggage retrieval were all smooth and easy. Flights left on time, seats were comfortable, decent legroom, good meal…",5.0
2024,August,No drinks/food served until the last 30min before landing,"Worst service ever. Drinks and food were only served to our side about 30 minutes before landing.  We had to rush to finish the food/drinks within minutes as plane was already descending and pilot announced they were preparing for landing. Also, Flight was delayed but no drinks…",1.0
2024,August,Not premium,"Singapore Airlines sells itself as a premium product among premium airlines. Our flight was on an A350, which is a beautiful plane but the seating in economy was very congested and cramp. The cabin crew were very professional and well-trained. However, they were very fierce when…",2.0
2024,August,Excellent way to fly,Excellent service as always. Flights attendants were kind and took great care of everyone on the flight. Seat are comfortable and entertainment is almost endless.,5.0
2024,August,The worst flight stewardess ever,"Me and my friend just got the worst experience with this flight stewardess at theSingapore T3 airport. She cuts into my friend's line in the ladies room for the make up mirror. When my friend ask her, she rolled her eyes and say psyco - excuse me? When my friend tries to photo…",1.0
2024,July,Excellent service on a long flight,"Total flight was Sydney to Amsterdam, but this leg was 13 hours on an A350. The business class seats are in a 1-2-1 configuration and are very wide and spacious, and cleverly designed to give a good lie-flat bed when reclined. Flight was a bit late arriving, due firstly to…",5.0
2024,August,Fantastic service and food,In business class - fantastic service and fantastic staff. Very attentive and nothing too much of a problem  Just flew Qantas business the previous week and it was terrible so this was a pleasure,5.0
2024,August,One of the best in the world today,"Wow, what a pleasure.  Flight took off late, but did land on time, which these days can be a bit of a rarity.  But what sets Singapore Airlines is it's service.  From the ticket counter to the baggage carousel, everyone we came into contact with was helpful and professional.  We…",5.0
2023,October,Disappointing Premium Economy experience,"We flew Air New Zealand's Premium Economy from Auckland to Seoul (NZ75) in September 2023, and Singapore Airlines' Premium Economy from Narita to Singapore (SQ11) in October 2023.     The SQ11 Premium Economy offering was disappointing/under-whelming when compared to the NZ75…",3.0
2024,July,"Amazing service, will definitely being flying with Singapore Airlines in the future","My daughter's flight from Athens to Singapore was delayed which caused her to miss her connecting flight to Sydney. In landing she was very upset as she was travelling by herself. When she disembarked the flight a Singapore staff member was waiting for her, she was placed on the…",5.0
2024,August,Experienced the New  Singapore Airlines.,"I flow First Class from Sydney to Singapore and Business from Singapore to Dubai, and the same classes return. The Check in at Sydney was quick and easy. The seats on the aged B777 where the same approx than SIA old business Class seats. I pre-ordered the main meal a steak with…",3.0
2024,August,Excellent service from air stewardess,"Excellent service,our flight from Singapore to Hong Kong on SQ898 in so good experience, fly smooth and crew have a good service too, my kids so happy ^_^",5.0
2024,August,Extremely Bad Service,"Hello, I'm not sure who is checking this, but I'm writing out of a major concern. I was traveling from New Delhi to Singapore yesterday (16th August 2024) - flight no SQ 403, was delayed. Because of the delay, we missed our connecting flight to Chiang Mai from Singapore.   Upon…",1.0
2024,July,Best Airline To Fly To Singapore,"Firstly Singapore Airlines were the nicest airline when flying to Singapore from Melbourne and to Phuket. They greeted us, gave us hot towels and even our meals. They even served us drinks. I would recommend this airline to honeymooners, adults, children and big family.",5.0
2024,July,Beware business class flat beds in some airplane configurations.,"Very disappointed with the 'lay flat' business class seats in the planes from LHR to Singapore and back. The area for the feet is to the right or left of the seat in front, so the seat drops flat but is only about 110cm long, you have to sleep at an angle to fit the area from…",2.0
2024,July,"Fantastic service from check-in, boarding, flight and arrival","We flew SIN-Phuket-SIN and the on-board crews were beautifully dressed, very customer focussed ensuring our trip was smooth and delightful.  Every member greeted us and asked if they could assist us to get settled.  The food and drinks available were amazing, special mention of…",5.0
2024,August,Frauds,"Extremely fraudulent airline. My booking disappeared a day before the flight after I checked in online.  On panic calling the Singapore airlines customer service, I was horrified to learn that my seats were mistakenly sold to someone else and only higher cabin class seats are…",1.0
2024,July,Don’t recommend Singapore airlines,"""I'm usually a calm and pleasant person, but my recent summer vacation flights with Singapore Airlines left me feeling frustrated and anxious. I traveled with my two kids from the USA to India and back in economy class. Previously, I had positive experiences with the airline,…",1.0
2024,July,Lost baggage since more than one month with no response,"I lost a box which i handle it to singapore airline in dubai, i stopped transit 3 hours in Singapore then went to kuala lampur, i came back to dubai on 2 august , and today is 15 august , till now no one contacted me regarding this issue, i sent more than 7 emails and many call…",1.0
2024,August,Excellent Customer Service,"I purchased return flight for my son and I, with non refundable/changeable conditions direct from Singapore Airlines. Melbourne-Penang-Melbourne.  Due to my son’s serious health issues, we are not able to travel. I reached out to Singapore Airlines and explained the situation.…",5.0
2024,April,Pathetic,It has been three months that we have not received any revert from Singapore Airline  regarding the refund of our damaged baggage. Shame on the company like this. I heard that Singapore Airlines has the best customer service but it was all rumour . Pathetic customer service your…,1.0
2024,July,Great airline,"Our flight from Sydney to Singapore on A380 was great, comfortable, food was great, bathrooms cleaned constantly, entertainment was great.  We used our own noise cancelling headphones.  Staff could not do enough for you and were very informative about different places to visit…",5.0
2024,July,Singapore Airlines - bad experience,"We may have had an old plane but the flight was one of the worst I've ever had in Businesss Class. The seats were uncomfortable, and the sleeping position was almost impossible compared to other flights. The TV was not a touch TV and the manual system didnt work well. The route…",2.0
2024,August,very disappoiinting business class from Rome,"Rome to Singapore business class is well below par - I took a flight from FCO to Singapore last year.  Hard seat-beds, no sleep at all, food was just so-so.  Would not take their business class offering again & in fact, am about to book Qatar for this year's long haul flight.",3.0
2023,September,The best airline.Everything was perfect,"Incredible truly the best airline .Not only were the check-in staff super friendly ,the flight attendants were so nice",5.0
2024,August,Trying to change a flight,"My wife and I were booked in for Singapore Airlines flights departing Manila on Friday 16 August, flying to Singapore economy and then connecting to Johannesburg, flying Premium economy. We received news that my 81 year old mum had fallen and is in a serious condition in…",1.0
2024,April,Singapore Airlines- Pathetic Service,"Singapore Airlines- Pathetic Service  Disappointed with Singapore Airlines Economy Class Service  We were very excited about our Singapore Airlines economy class flights based on their reputation and high ratings.  My travel was on April 2024.  Unfortunately, our experience fell…",1.0
2024,August,Singapore airlines,"Very poor service, they didn’t to serve dinner to me and my family but served it to everyone else. Very unhappy with their service.",1.0
2024,August,No frenchies,"My biggest problem with Singapore airline is this. They just changed their rules to allow dogs in cabin, but then they notify me that they dont allow french bulldogs. Why is that a rule when you already force the pet to be with the luggage? Does it matter?",1.0
2024,June,SIA check in counter staff,SIA counter staff at T2 was so rude. A Indian women wearing a spec .Her attitude was so rude.  She didn’t put on her name tag  so don’t have her name. Hopefully won’t see her again. Don’t know why the company didn’t aware about it. But luckily after on board the SIA Cabin Crew…,2.0
2024,August,Rude and sarcastic customer service staff.,"I am writing to express my disappointment with the service I received from a Qantas staff member at the Canberra Airport check-in counter. On [date of travel], I encountered an extremely rude and unhelpful staff member while attempting to check in for my flight to Mumbai.  As…",2.0
2024,April,Poor Service,"I was so excited that Singapore Airlines have direct flights to SEA, so I booked it. The fact that they are one of the top ten airlines, I thought ""hey, even better!"" Did it meet expectations? Not really, I thought the service was poor. Flight attendants were young and…",2.0
2024,August,SQ's Premium Economy still isn't worth the price.,"I had been eagerly anticipating the revamping announced in spring 2024. I'm glad that the food is no longer served in plastic and that drink options are a bit better. However, the amenity kits are very poor, with a cheap, rubbish-like material pouch and super thin slippers…",1.0
2024,July,Poor Singapore Airlines experience,Probably one of their oldest planes. The one from Brisbane to Singapore was only marginally better. Cramped uncomfortable seat which was not conducive to sleep. Poor service. Appalling breakfast for the price paid. Apparently their better planes fly to Sydney/Melbourne but the…,1.0
2024,February,Smooth Flight!,"World best airlines in the world. No delays, nice food, great inflight entertainment and the best part was the food. By the way the crew was very nice as well.",5.0
2024,August,No customer service at all - To avoid by all means,"Is this, supposedly, one of the best airlines in the world? We booked our flight from Milan to Phnom Pehn for November months ago, then we received a mail saying that the connecting flight to Cambodia was cancelled and we were rebooked on another flight leaving almost 10 hours…",1.0
2024,July,Luggage delays by irresponsible operations,"I took a flight from Bangkok to Tokyo via Singapore and was told that one of my luggages could not be placed on the flight from Singapore to Tokyo.  The ground staff in Tokyo explained that it was because the flight I chose had a short connection time. No, no, no, this flight…",1.0
2024,May,Morning flight from Delhi,"Check-in : At one of the dedicated Business Class counters , which was a breeze.  Security / Immigration : Quick , via the dedicated lanes / counters for First and Business Class passengers.  Lounge : Encalm Privé - comfortable , but has scope for improvement  Boarding : One of…",5.0
2024,July,Avoid Singapore airlines,Wow - how much has this airline has declined over the last 20 years. Aircraft seat tatty with wear and tear and ten food inedible. My suggestion- pay the extra dollars to fly other airlines - horrible exprience and I have done a lot of travel.,1.0
2023,November,Singapore Airlines; Best Airline,"Singapore Airlines is my number 1 choice. The crew are super friendly and are pro-active. When they saw that my water bottle wasn't filled up, they offered to help me. Even in economy, seats are great comfortable. The food is AMAZING. There were many different options and I got…",5.0
2024,July,Caution!  DONT BOOK FLIGHTS WTH THEM,"Basically, don’t book through them directly.  They lie on their website and when you call they try to extort you. Dangerous company.",1.0
2024,July,Overreaction to mild turbulences,Our flight was supposed to take off at around 12.30pm that day. When we arrived at the airport that day at around 1030am we were told that the flight was delayed until 1.50pm. That was very convenient to us as we had made arrangements for a good Thai friend to pick us up from…,1.0
2024,July,Disappointing end to our Honeymoon,"We were delayed on another Singapore airline flight from Bangkok to Singapore, which caused us to miss our connection at Singapore to travel to London.  We had paid for extra legroom as a nice end to our honeymoon on the return leg, being a 13hr flight, but were downgraded to…",1.0
2024,July,the worst experiance,"I recently traveled with Singapore Airlines on a return flight from Melbourne to Vietnam with my family, and unfortunately, the experience was deeply disappointing. This was my first flight with Singapore Airlines, and regrettably, it will likely be my last.  The journey began…",1.0
2024,July,"Comfortable Seats, Excellent Legroom","The service onboard was great. The cabin crew welcomed us at the entrance and distributed the earplugs at the same time. Despite being a turnaround flight, the diligent cabin crew were seen constantly patrolling the cabin after meal service to help passengers clear the trash.…",4.0
2024,June,Singapore air has lots of room for improvement,I almost wanted to give 1 star but I held back as service recovery was done by a  attentive staff that was not in charge of my seat section.  No children headphone offered to my child.  And cabin crew conveniently missed out our drinks during dinner service.  Understanding that…,3.0
2024,July,Beware as they change date of flight without notification,This is the worst airline ever. They change date of flights without informing the passenger. They wont even accept their mistake. You will waste your money and time in this airlines. Wont ever book with this airlines again.,1.0
2024,June,THOUSANDS OF DOLLARS WASTED ON A TERRIBLE EXPERIENCE,"Maybe my expectations were high given the great reputation that Singapore Airlines has, however my experience was extremely disappointing. We flew Business Class to Europe return and while I am not at all hard to please, the experience was just horrible. Hard uncomfortable…",2.0
2024,July,"Singapore Airlines quickly processed a full refund without any hassle,","I recently had to cancel my booking with Singapore Airlines due to an urgent medical situation in my family. The customer service team was incredibly understanding and compassionate throughout the process. They quickly processed a full refund without any hassle, which…",5.0
2024,June,Terrible customer service,I was so disappointed with their customer service while booking flights .  We were having difficulty booking our infant online so we rang their customers services and followed their advice. We were then told that although we did exactly what they advised that they would need to…,2.0
2023,December,"The best staff, best food.","The airline is fast and efficient in check in, once you were onboard the flight you are greeted by a comfortable economy seat and one of my best entertainment screen in my life. The food was also super delicious and I will, give it a solid 10/10. The staff were also so kind, and…",5.0
2024,July,Terrible airline,Terrible airline   I was flying from Zürich to Singapore The transfer was 20 min. and then to Kuala Lumpur. When we arrived our luggages where Delayed so we went to make a report there they said tomorrow you will get all your luggages so we went home. The next day we only got…,1.0
2024,May,"Comfortable Old school Seats, Great Service","Service onboard was great for this short Singapore to Kuala Lumpur flight. The cabin crew welcomed all passengers with a warm smile and pointed out our seats at the door. We were served welcome drinks when all passengers boarded, while another crew came around for our food…",5.0
2024,July,Disgusting and terrible,"Terrible Experience, person at the check im counter kept continuously arguing and being aggressive, when I said I would complain he was irritated and mad and said let’s go now and made my family feel threatened, was complicating the whole situation with check in as it was a…",1.0
2024,July,Poor customer handling skills,I am deeply dissatisfied with how Singapore Airlines staff handled our situation. We specifically requested to have someone push the wheelchair of my guest after passing through immigration as we are unable to do so ourselves. We were told by someone called Alai (or similar…,1.0
2024,July,"The good, the bad and the ugly!","Surprisingly, had the best (10/10) and the worst (0/10) flight on Singapore Airlines the same day, Friday 19th July 2024. Couldn't really believe it, but do read on: SQ935 from DPS to SIN came with great aircraft B78X and an on-time performance, a superb cabin crew and a…",3.0
2024,March,"Destroyed surfboard, rude staff","Went on the trip of a lifetime to the Maldives, the first time with my surfboard as it wasn't possible to rent where we went. The way there was ""ok"" but the way back was an absolute disaster. After a very exhausting but beautiful week, we went to the airport, only to realise…",1.0
2024,May,"Good Service, but Cost cutting is very obvious","The service on this flight was great, and the cabin crew portrayed Singapore Airlines’ hospitality and efficiency. The cabin crew warmly welcomed us during boarding, and we were promptly shown to our seats by another cabin crew at boarding. As soon as we were seated, another…",4.0
2024,July,poor food,"poor food, the flight provide 2 options for food. Everyone choosing the the same option, a western menu. End up we sit at the back have no choice. Only have a economy bihun to eat.  Who like to eat 经济米粉 狗都不吃",1.0
2024,May,Awful airline,"The airline was dirty, old, the staff looked unhappy, the food was disgusting and I was embarrassed that I have always recommended this airline. Their standards have fallen to a new low. I will never fly with them again. Disgrace.",1.0
2024,July,SQ Charged for Middle Name and Surname Mixed Up,"Bought a 2 way business class ticket with SQ costing SGD 9,000. When making the booking , the browser auto complete the middle name as last name. I request the change to the correct surname and I was asked to pay USD 50 for surname change. USD 50 is a small sum of money compared…",1.0
2024,July,Awesome service!!!,We had the misfortune of a cancelled flight on the first leg of our 3 flight journey home. (with Lufthansa - but all booked through Singapore Airlines)  Singapore Airlines were amazing!! They lowered our stress levels significantly and we couldn’t believe how quickly they’d…,5.0
2024,June,Best Flight I Have,"The airline is very nice. They provide everything if you go different aircraft the food, entertainment and comfort form the seat. Also provide ice cream end of their meal. If you call staff if you want anything they will respond and give anything. A there meals taste so good.…",5.0
2024,July,Singapore Airlines- worst business class experience - ever,For a business class flight this is the worst ever service I have ever witnessed - and I have been travelling premium cabins for over 40 years.  Not even a glass of water was offered as a pre-take off drink. After take off and cabin service starts- still no beverages. I only…,1.0
2024,July,Pleasant flight back home,"Pleasant flight! From the beginning all the SIA staffs were welcoming, helpful and kind to the passengers. Inflight food was better than I expected as I requested for Low Lactose diet meal to try. I’d like to particularly thank SIA air stewardess, Seina for her kind assistances…",5.0
2024,April,"Narrow Business Class Seats, Horrendous Service","The service did not match the service standards that Singapore Airlines proud itself to have. The service was horrendous and fell very far behind. The stewardess did not provide basic service, such as confirming my pre-ordered meal or giving me the option of when to have my…",2.0
2024,April,"Singapore airlines, pay more for less.","Singapore Airlines business class is more expensive than other airlines, but not worth the price. Have been a loyal Singapore Airlines customer for 6 years and have watched the airline's quality decline. Customer service, in-flight service, wifi connectivity and food quality…",1.0
2024,May,CHARGED OVER $2000 for suitcase,Excess baggage fees charged $2800 for two extra bags   Wtf is going on? $60 per extra kg… criminals. It was impossible to prebook through the website as it was through 2 different airlines.,1.0
2023,October,Bad experience!👎,"Tried several times to get the airline to give me my mileage points, no success. First time i contacted them, sending them my tickets, they wouldnt help. Last time i tried, they said the claim was to old, so i lost the mileage points. Next flight will NOT be with Singapore…",1.0
2024,June,Not worth paying for business class,"To be honnest,  was not at all impressed about this flight. The only positive was the smooth check in with smiling staff at the Bangkok airport check in counter.  I think I was the second passenger to board the business class.  The onboard staff did not seem to be ready yet, and…",1.0
2024,April,Inflexible and misleading ticketing; disappointing service,"I'm sorely disappointed with the ground service of Singapore's national carrier for my Singapore-Iceland trip. I paid USD450 extra for the option to update to business class with miles, only to be told there were no seats left. I then try to utilise the option to refund the…",2.0
2024,May,"Great Service, Great Seat","The service onboard this short flight from Kuala Lumpur to Singapore was nothing short of impeccable. We were warmly welcomed and ushered to our seats the moment we boarded the aircraft. Like clockwork, another cabin crew came around, offering us orange juice and champagne as…",5.0
2024,July,"Awful experience: bad management, terrible connection, poor service, delayed flights, wrong information","The flight delayed. The connection was awful. We missed our flight to London Gatwick and was flown to Heathrow without notice. Got no help, even with young children. Bad management, poor service.",1.0
2024,July,Bad service!!!,"Assistance staff didnt show up, as  requested and confirmed. Had to walk several km. Call to staff custer service but still no support. They confirm something thats not correct!!!",1.0
2024,July,Unhelpful,I'm disabled and in the past when travelling with virgin Atlantic and British Airways have requested bulkhead or extra legroom seats to be reserved in advance and they've gone out of their way to help me . This time 8 weeks before travelling emailed Singapore Airlines who keep…,1.0
2024,July,My worst experience,"I book this flight because I heard my friend's experience with this airline and it sounds good. But because I book economy class since jakarta and singapore are close, i got at the last row which is row 61. At first, I still thought it will be okay. But then when it's the time…",1.0
2024,July,Never again!,"Singapore airlines was once a company that prided itself on service, it would appear that has changed. While at Perth airport l had need to go to the service desk with a query about my flight. You would have thought l had asked the counter staff to remove one of her legs, after…",1.0
2024,June,Disappointing long flight.,"We have travelled a number of times on this service over the last 10 years, sadly it has become just another airline, the onboard cabin crews are usually very good and really we have no issues with them, the rows of seats are too close together, they are generally uncomfortable…",2.0
