year,month,processed_full_review,sentiment
2024,8,use mani differ airlin past but came close servic offer singapor airlin never asia not easi distinguish airlin like airasia thailion thaivietjet high great experi,Positive
2024,9,probabl worst experi aviat cancel flight put flight result wait no offer compens fact get taxi instead public transport wait hour airport worst custom servic aviat industri avoid,Negative
2024,8,recent flew singapor airlin hong kong perth australia layov singapor flight book onlin flight board luggag retriev smooth easi flight left time seat comfort decent legroom good good economi class flight,Positive
2024,8,worst servic ever drink food serv side minut land rush finish within minut plane alreadi descend pilot announc prepar land also flight delay but no no serv last land,Negative
2024,8,singapor airlin sell premium product among premium airlin flight beauti plane but seat economi congest cramp cabin crew profession howev fierc not premium,Negative
2024,8,excel servic alway flight attend kind took great care everyon flight seat comfort entertain almost endless excel way fli,Positive
2024,8,friend got worst experi flight stewardess thesingapor airport cut friend line ladi room make mirror friend ask roll eye say psyco excus friend tri worst flight stewardess ever,Negative
2024,7,total flight sydney amsterdam but leg hour busi class seat configur wide spaciou cleverli design give good bed reclin flight bit late arriv due firstli excel servic long flight,Positive
2024,8,busi class fantast servic fantast staff attent noth much problem flew qanta busi previou week terribl pleasur fantast servic food,Positive
2024,8,wow pleasur flight took late but land time day bit rariti but set singapor airlin servic ticket counter baggag carousel everyon came contact help profession one best world today,Positive
2023,10,flew air new zealand premium economi auckland seoul septemb singapor airlin premium economi narita singapor octob premium economi offer compar disappoint premium economi experi,Neutral
2024,7,daughter flight athen singapor delay caus miss connect flight sydney land upset travel disembark flight singapor staff member wait place amaz servic definit fli singapor airlin futur,Positive
2024,8,flow first class sydney singapor busi singapor dubai class return check sydney quick easi seat age approx sia old busi class seat main meal steak experienc new singapor airlin,Neutral
2024,8,excel servic flight singapor hong kong good experi fli smooth crew good servic kid happi excel servic air stewardess,Positive
2024,8,hello not sure check but write major concern travel new delhi singapor yesterday august flight no sq delay delay miss connect flight chiang mai singapor extrem bad servic,Negative
2024,7,firstli singapor airlin nicest airlin fli singapor melbourn phuket greet us gave us hot towel even meal even serv us drink would recommend airlin honeymoon adult children big famili best airlin fli singapor,Positive
2024,7,disappoint flat busi class seat plane lhr singapor back area feet right left seat front seat drop flat but long sleep angl fit area bewar busi class flat bed airplan configur,Negative
2024,7,flew crew beauti dress custom focuss ensur trip smooth delight everi member greet us ask could assist us get settl food drink avail amaz special mention fantast servic board flight arriv,Positive
2024,8,extrem fraudul airlin book disappear day flight check onlin panic call singapor airlin custom servic horrifi learn seat mistakenli sold someon els higher cabin class seat fraud,Negative
2024,7,usual calm pleasant person but recent summer vacat flight singapor airlin left feel frustrat anxiou travel two kid usa india back economi class previous posit experi airlin don recommend singapor airlin,Negative
2024,7,lost box handl singapor airlin dubai stop transit hour singapor went kuala lampur came back dubai august today august till no one contact regard issu sent email mani lost baggag sinc one month no respons,Negative
2024,8,purchas return flight son non condit direct singapor airlin due son seriou health issu not abl travel reach singapor airlin explain excel custom servic,Positive
2024,4,three month not receiv revert singapor airlin regard refund damag baggag shame compani like heard singapor airlin best custom servic but rumour pathet custom servic pathet,Negative
2024,7,flight sydney singapor great comfort food great bathroom clean constantli entertain great use nois cancel headphon staff could not enough inform differ place great airlin,Positive
2024,7,may old plane but flight one worst ever businesss class seat uncomfort sleep posit almost imposs compar flight tv not touch tv manual system didnt work well singapor airlin bad experi,Negative
2024,8,rome singapor busi class well par took flight fco singapor last year hard no sleep food would not take busi class offer fact book qatar year long haul flight disappoiint busi class rome,Neutral
2023,9,incred truli best airlin staff super friendli flight attend nice best perfect,Positive
2024,8,wife book singapor airlin flight depart manila friday august fli singapor economi connect johannesburg fli premium economi receiv news year old mum fallen seriou condit tri chang flight,Negative
2024,4,singapor pathet servic disappoint singapor airlin economi class servic excit singapor airlin economi class flight base reput high rate travel april unfortun experi singapor pathet servic,Negative
2024,8,poor servic serv dinner famili but serv everyon els unhappi servic singapor airlin,Negative
2024,8,biggest problem singapor airlin chang rule allow dog cabin but notifi dont allow french bulldog rule alreadi forc pet luggag matter no frenchi,Negative
2024,6,sia counter staff rude indian women wear spec attitud rude put name tag don name hope see don know compani awar but luckili board sia cabin sia check counter staff,Negative
2024,8,write express disappoint servic receiv qanta staff member canberra airport counter date travel encount extrem rude unhelp staff member attempt check flight mumbai rude sarcast custom servic staff,Negative
2024,4,excit singapor airlin direct flight sea book fact one top ten airlin thought hey even better meet expect not realli thought servic poor flight attend young poor servic,Negative
2024,8,eagerli anticip revamp announc spring glad food no longer serv plastic drink option bit better howev amen kit poor cheap materi pouch super thin sq premium economi still worth price,Negative
2024,7,probabl one oldest plane one brisban singapor margin better cramp uncomfort seat not conduc sleep poor servic appal breakfast price paid appar better plane fli but poor singapor airlin experi,Negative
2024,2,world best airlin world no delay nice food great inflight entertain best part food way crew nice well smooth flight,Positive
2024,8,supposedli one best airlin world book flight milan phnom pehn novemb month ago receiv mail say connect flight cambodia cancel rebook anoth flight leav almost no custom servic avoid mean,Negative
2024,7,took flight bangkok tokyo via singapor told one luggag could not place flight singapor tokyo ground staff tokyo explain flight chose short connect time no no no luggag delay irrespons oper,Negative
2024,5,one dedic busi class counter breez secur immigr quick via dedic lane counter first busi class passeng loung encalm comfort but scope improv board one morn flight delhi,Positive
2024,7,wow much airlin declin last year aircraft seat tatti wear tear ten food ined pay extra dollar fli airlin horribl exprienc done lot travel avoid singapor airlin,Negative
2023,11,singapor airlin number choic crew super friendli saw water bottl fill offer help even economi seat great comfort food amaz mani differ option singapor airlin best airlin,Positive
2024,7,basic don book directli lie websit call tri extort danger compani caution dont book flight wth,Negative
2024,7,flight suppos take around day arriv airport day around told flight delay conveni us made arrang good thai friend pick us overreact mild turbul,Negative
2024,7,delay anoth singapor airlin flight bangkok singapor caus us miss connect singapor travel london paid extra legroom nice end honeymoon return leg flight but downgrad disappoint end honeymoon,Negative
2024,7,recent travel singapor airlin return flight melbourn vietnam famili unfortun experi deepli disappoint first flight singapor airlin regrett like last journey worst experi,Negative
2024,7,servic onboard great cabin crew welcom us entranc distribut earplug time despit turnaround flight dilig cabin crew seen constantli patrol cabin meal servic help passeng clear comfort seat excel legroom,Positive
2024,6,almost want give star but held back servic recoveri done attent staff not charg seat section no children headphon offer child cabin crew conveni miss drink dinner servic understand singapor air lot room improv,Neutral
2024,7,worst airlin ever chang date flight without inform passeng wont even accept mistak wast money time airlin wont ever book airlin bewar chang date flight without notif,Negative
2024,6,mayb expect high given great reput singapor airlin howev experi extrem disappoint flew busi class europ return not hard pleas experi horribl hard thousand dollar wast terribl experi,Negative
2024,7,recent cancel book singapor airlin due urgent medic situat famili custom servic team incred understand compassion throughout process quickli process full refund without hassl singapor airlin quickli process full refund without hassl,Positive
2024,6,disappoint custom servic book flight difficulti book infant onlin rang custom servic follow advic told although exactli advis would need terribl custom servic,Negative
2023,12,airlin fast effici check onboard flight greet comfort economi seat one best entertain screen life food also super delici give solid staff also kind best staff best food,Positive
2024,7,terribl airlin fli singapor transfer min kuala lumpur arriv luggag delay went make report said tomorrow get luggag went home next day terribl airlin,Negative
2024,5,servic onboard great short singapor kuala lumpur flight cabin crew welcom passeng warm smile point seat door serv welcom drink passeng board anoth crew came around comfort old school seat great servic,Positive
2024,7,terribl experi person check im counter kept continu argu aggress said would complain irrit mad said let go made famili feel threaten complic whole situat check disgust terribl,Negative
2024,7,deepli dissatisfi singapor airlin staff handl situat specif request someon push wheelchair guest pass immigr unabl told someon call alai poor custom handl skill,Negative
2024,7,surprisingli best worst flight singapor airlin day friday juli could realli believ but read dp sin came great aircraft perform superb cabin crew good bad ugli,Neutral
2024,3,went trip lifetim maldiv first time surfboard possibl rent went way ok but way back absolut disast exhaust but beauti week went airport destroy surfboard rude staff,Negative
2024,5,servic flight great cabin crew portray singapor airlin hospit effici cabin crew warmli welcom us board promptli shown seat anoth cabin crew board soon seat good servic but cost cut obviou,Positive
2024,7,poor food flight provid option food everyon choos option western menu end sit back no choic economi bihun eat like eat poor food,Negative
2024,5,airlin dirti old staff look unhappi food disgust embarrass alway recommend airlin standard fallen new low never fli disgrac aw airlin,Negative
2024,7,bought way busi class ticket sq cost sgd make book browser auto complet middl name last name request chang correct surnam ask pay usd surnam chang usd small sum money sq charg middl name surnam mix,Negative
2024,7,misfortun cancel flight first leg flight journey home lufthansa but book singapor airlin singapor airlin amaz lower stress level significantli believ quickli awesom servic,Positive
2024,6,airlin nice provid everyth go differ aircraft food entertain comfort form seat also provid ice cream end meal call staff want anyth respond give anyth meal tast best flight,Positive
2024,7,busi class flight worst ever servic ever wit travel premium cabin year not even glass water offer drink take cabin servic still no beverag singapor worst busi class experi ever,Negative
2024,7,pleasant flight begin sia staff welcom help kind passeng inflight food better expect request low lactos diet meal tri like particularli thank sia air stewardess seina kind pleasant flight back home,Positive
2024,4,servic not match servic standard singapor airlin proud servic horrend fell far behind stewardess not provid basic servic confirm meal give option narrow busi class seat horrend servic,Negative
2024,4,singapor airlin busi class expens airlin but not worth price loyal singapor airlin custom year watch airlin qualiti declin custom servic servic wifi connect food singapor airlin pay less,Negative
2024,5,excess baggag fee charg two extra bag wtf go per extra crimin imposs prebook websit differ airlin charg suitcas,Negative
2023,10,tri sever time get airlin give mileag point no success first time contact send ticket wouldnt help last time tri said claim old lost mileag point next flight not bad experi,Negative
2024,6,honnest not impress flight posit smooth check smile staff bangkok airport check counter think second passeng board busi class onboard staff not seem readi yet not worth pay busi class,Negative
2024,4,sore disappoint ground servic singapor nation carrier trip paid extra option updat busi class mile told no seat left tri utilis option refund inflex mislead ticket disappoint servic,Negative
2024,5,servic onboard short flight kuala lumpur singapor noth short impecc warmli welcom usher seat moment board aircraft like clockwork anoth cabin crew came around offer us orang juic champagn great servic great seat,Positive
2024,7,flight delay connect aw miss flight london gatwick flown heathrow without notic got no help even young children bad manag poor servic aw experi bad manag terribl connect poor servic delay flight wrong inform,Negative
2024,7,assist staff didnt show request confirm walk sever km call staff custer servic but still no support confirm someth that not correct bad servic,Negative
2024,7,disabl past travel virgin atlant british airway request bulkhead extra legroom seat reserv advanc gone way help time week travel email singapor airlin unhelp,Negative
2024,7,book flight heard friend experi airlin sound good but book economi class sinc jakarta singapor close got last row row first still thought okay but worst experi,Negative
2024,7,singapor airlin compani pride servic would appear chang perth airport l need go servic desk queri flight would thought l ask counter staff remov one leg never,Negative
2024,6,travel number time servic last year sadli becom anoth airlin onboard cabin crew usual good realli no issu row seat close togeth gener disappoint long flight,Negative
2024,4,servic great onboard short flight cabin crew welcom passeng moment step onboard guid us correct aisl closest seat walk economi class cabin anoth set cabin crew alreadi readi comfort short hop onboard singapor airlin economi class,Positive
2024,7,flew juli last flight itinerari get flew midday flight dp but leav layov loung book ambassador loung good but better malaysia offer,Positive
2024,6,flight smooth entertain terribl screen slow could not use head phone due damag headphon jack three seat row issu wifi also not avail durat flight servic ok better singapor airlin,Negative
2024,7,absolut worst custom experi ever classifi name chang flight chang took away student privileg view date chang fare chang friend assist similar flight could see date rate promis transpar but worst custom servic lack transpar honesti,Negative
2024,5,read lot sq best airlin but person experi anyth but first inbound flight delay seat economi class shrunk dramat toilet wors find greasi spoon not airlin hype,Negative
2024,5,food bad servic slow food slow one time ask cup coffe staff deni make us coffe said serv water juic staff keep talk loud ladi keep talk unprofession servic bad experi,Negative
2024,4,experi never travel singapor airlin good fortun husband beauti suit whole experi check land singapor wonder hubbi push boat royal experi,Positive
2024,7,book ticket layov singapor email custom servic book refer ask could extend layov visit citi day custom servic repli ask photo passport confirm bad custom servic experi,Negative
2024,5,actulli not flown but recent purchas two busi class ticket long wait birthday trip pay two ticket happen choos one currenc one ticket anoth ticket thought no differ awar price differ pay differ currenc custom servic terribl,Negative
2024,6,singapor airlin qualiti declin significantli year use fli regularli but stop take yesterday long haul flight houston food beverag averag beef bourguignon overcook not tender declin servic qualiti far proud singapor hospit,Negative
2023,12,singapor airlin counter locat hall six counter serv airlin two counter assign bag drop assum serv passeng check kiosk termin one counter serv comfort seat great servic,Positive
2024,3,singapor airlin use ng inherit sister compani silkair two airlin merg pli singapor penang servic onboard flight amaz cabin crew smile greet passeng board great flight great servic despit older aircraft,Positive
2024,7,poor servic flight staff seem worn slow food drink remov rubbish seem hide behind curtain bulk flight slow not normal happen flight side singapor airlin servic lack,Negative
2024,7,horribl servic transfer desk no proper repli given delay flight hate attitud custom no one give respons answer horribl custom servic,Negative
2023,8,flight custom servic app experi bland food not book go forwad everi year use fli singapor not great experi worst experi,Negative
2024,6,worest food food gone bad but still serv smell cheap qualiti everyth tote bag cheap drink worest experi,Negative
2024,6,use think singapor best airlin world flight good but bag not arriv daili check cdg singapor no one tell bag singapor baggag team not respond cdg baggag servic ignor queri baggag,Negative
2024,6,disappoint singapor airlin poor servic never fli compani book ticket nearli one year ago seat fli kid but chang seat melbourn singapor never fli singapor airlin,Negative
2024,5,noth wrong crew ca fault everyth ask travel part group usual seat back section back row typic pattern sq cours meal time come round great plane great crew poor manag,Neutral
2024,6,plane kinda good but problem cost pay flight but mayb friend say good airlin welp good thing bad thing airlin,Positive
2024,3,not enough leg room felt squash passeng way home sit partial seat food not best flight attend hard get hold need someth not impress,Negative
2024,5,amaz crew whenev flown singapor airlin great experi everi flight would recommend anyon fantast,Positive
2023,12,give star singaporean flight attend priortis foreign first even though attend first not clear tray twice slept tray upon queu ticket offic look ticket f singapor airlin,Negative
2024,6,motiv talk food go refus want sleep skip dinner eaten enough holiday glad flight attend crystal insist tri even littl ate whole lot opt asian food singapor premium eco way fli,Positive
2024,2,realli great experi highli recommend work profession mannar much appreci realli amaz,Positive
2024,6,ground staff crew frankfurt treat peopl like dog singapor airlin fire rehir human give train racist blond front desk especi rude terribl flight terribl ground staff,Negative
2024,6,second intern flight singapor airlin first japan march second vietnam may honestli say extrem disappoint occas level care servic ad expens singapor airlin extrem disappoint busi class qualiti servic,Neutral
2024,5,wow write express deepest gratitud absolut extraordinari experi flight tokyo japan flight attend captain everyon singapor airlin servic kind profression made absolut amaz experi kind profession staff went beyond,Positive
2024,5,outgo flight connect well singapor airport but return journey run long way jump onto last call flight back sydney luggag not make plane meal ined one fish meal worst meal not,Neutral
2024,6,flight phuket singapor conect flight singapor brisban problem singapor plane turn late phuket miss conect flight brisban singapor noth sleep floor airport shock care factor zero don care,Negative
2024,5,high expect busi class flight chose singapor airlin reput prior experi fli asia experi time poor sa experi no better mediocr busi class experi poor experi not expect singapor airlin,Neutral
2023,7,realli bad servic unfriendli servic zero respect custom made mistak ticker never apologis bad servic,Negative
2024,5,singapor busi class flight melbourn london via singapor no frill version busi class definit not worth premium price paid ticket food averag biggest critic seat configur main reason busi class not worth premium price,Neutral
2024,6,definit not busi class experi past use staff member introduc themselv person look offer thing like amen kit slipper etc not ask told later sometim get not use,Neutral
2024,6,singapor airlin suit class special product bucket list year glad final got experi recent trip sydney singapor suit feet person cabin sky separ armchair bed unforgett experi,Positive
2024,5,travel singapor airlin three flight recent receiv great servic pleasant comfort long haul flight economi happi effici friendli cabin crew clean facil would definit fli singapor airlin,Positive
2024,5,flight singapor japan far stay night short get decent period sleep arriv unfortun direct flight avail holiday could least consol good flight usual bit cold,Positive
2024,6,share experi singapor airlin book system also custom servic mislead think fail secur airfar price creat extrem fals circumst think import public awar mislead book unprofession,Negative
2024,6,worst servic ever seen life lost luggag day still not gotten tri call hundr number point contact but no one care shift away respons say escal noth happen lie worst experi life unbeliev bad servic never fli airlin,Negative
2024,6,seat tight squash whenth tray came someon push seat back screen close eye chicken meatbal salti wish could design seat area babi rest passeng could sleep wish could afford busi class,Neutral
2024,4,let start say flight crew four leg trip south africa australia except kind friendli would fli singapor airlin absolut would but though seat four leg singapor airlin admin,Negative
2024,6,june mother excit fli singapor airlin everyth went fine passport control mother singaporean citizen european citizen passport queue rel fast case but mother wait handl everyth profession definit worth money,Positive
2024,5,chose singapor airlin excel servic board although crew everyth make flight comfort possibl but luxuri enjoy come food beverag no longer avail menu not best airlin use know,Neutral
2024,6,staff surprisingli rude mayb recent event certainli shock unhelp frankli rude hope lot disappoint poor staff,Negative
2024,5,flight amaz begin flight board flight attend kind gave travel journel kid sit gave us hot towel expieri like first class food serv best airlin ever,Positive
2024,4,recent return flight singapor rome singapor airlin worst airlin experi year intern travel paid premium book flight think would treat qualiti experi also paid singapor airlin worst airlin experi rememb,Negative
2024,5,thing ask end get seat assign not unusu travel busi class check onlin no issu not possibl help offer rather hear but work servic ahead flight,Negative
2024,5,airlin comfort food good sadli whole experi entir ruin hour delay compens cart blanch charg want not reimburs sever delay no delay repay,Negative
2024,5,sterl servic singapor airlin best airlin world check board plane staff profession courteou airlin set apart mani other great airlin,Positive
2023,9,worst food drink courtesi custom servic experi ever no food refresh hour flight given ask glass water rude say wait mt serv not know reason worst airlin world,Negative
2024,3,partner travel sydney victoria fall airport via singapor johannesburg first two leg singapor airlin third partner airlin part packag holiday luggag sever travel fail transfer damag luggag airlin care,Negative
2024,6,lie singl bag allow consid speak tini laptop bag second tri forc peopl check bag even threaten not guarante flight seet overhead book show websit show bad servic,Negative
2024,4,book flight vacat air canada use aeroplan td visa flight book air canada benefit credit card free check luggag use mani time year put singapor airlin part return trip ridicul baggag fee,Negative
2024,6,great airlin asian singapor total ignor anoth ethnic serv water asian coupl next even offer second round gave water ignor poor silver poor,Negative
2024,4,avoid singapor airlin lie custom worst flight dubai singapor even star not enough fraud bad altitud crew cramp seat ife worst seat not comfi aviod,Negative
2024,5,book famili san francisco visakhapatnam januari june travel within week trip leg singapor visakhapatnam summer start bare ticket left left mess cancel flight last minut no proper altern given,Negative
2024,4,first pandem flight expect long flight narrow seat unabl actual stand row agonis cramp not abl move chose singapor servic reput disappoint front even mind not take sandwich,Negative
2023,10,travel australia new zealand earlier year qanta airlin decid take famili week perth drive margaret river decid singapor airlin thoroughli enjoy experi previou trip bravo whiski,Positive
2024,5,honestli disappoint fli quit often leisur heard great thing flight delay flight left connect divert via differ contin delay hour told qualifi disappoint start finish,Negative
2024,3,good trip good tripveri good tripveri good tripveri good tripveri good tripveri good tripveri good tripveri good trip good,Positive
2024,5,premium economi airlin total rip no dedic board food economi cabin layout appal use toilet back plane not sure pay singapor airlin avoid premium economi,Negative
2024,2,book flight suit fli singapor london depart singapor time flight durat approxim flown economi busi sever time excit fli board singapor,Positive
2024,5,crew outstand disappoint food vegetarian meal worst food ever serv aboard airplan unfortun forgot take photograph not look gross complet tasteless assum abomin food serv busi class,Neutral
2024,5,sia market premium servic but act like unreli budget carrier book paid ticket closer departur sia email chang connect flight direct hour miss appoint way return unreli airlin,Negative
2024,1,meh overr flew premium eco butt litter bag expens honestli like best think sin deserv,Negative
2024,5,fli learn trip school sq check flight effici fast airplan meal also special prepar kid pizza excel flight definit fli sia awesom flight,Positive
2023,12,famili fli singapor la flight worth even economi custom servic amaz love comfort seat good ife clean aircraft best airlin economi,Positive
2024,2,strong suggest not take singapor airlin worst airlin ever take airlin cancel without notif explan order anoth replac anoth airlin midnight wo take respons worst airlin singapor airlin,Negative
2024,5,recent flew sq sydney singapor hong kong bangkok back singapor return sydney flight except fli combo busi class economi food alway except seat comfort facil kept best way fli,Positive
2024,5,feel disappoint book year everyth plan hotel book made annual leav approv but singapor airlin chang book multipl time stress overwhelm till final gave offer refund frustrat care,Negative
2024,5,depart time arriv close schedul time good crew food littl disappoint snack given not long departur almost ined ok,Positive
2024,4,amaz custom servic rose sq back forth regard small issu but rose quick decis abl solv within min love dedic keep great servic sq,Positive
2024,4,disappoint bed comfort understand bed quit hard back need attend make flight quit busi crew courteou but stretch even busi class food excel go book sa hard bed,Neutral
2023,11,excel servic staff realli kind readi help entertain comfort top notch food delici even economi would recommend great experi sia,Positive
2024,5,delay due weather origin captain said ground anoth hour take head home work next day exist news haha but captain made announc min say great cs hardwar wise soso,Positive
2024,5,aw custom servic help desk zero resolut skill constantli hold transfer no one use case pend week email never resolv alway short repli day later filler call soent hour today result wors worst custom servic line,Negative
2024,4,board request fish dinner told fish not avail subsequ flight sq singapor tokyo scrambl egg salmon breakfast arriv no scrambl egg salmon pile mash potato carrot green cold float food not expect standard,Positive
2024,5,use fleet imo design busi class littl lack compar seat littl narrow window misalign sinc red eye flight meal servic flight depart arriv time sia dreamlin review,Positive
2024,3,often use hear singapor airlin best alongsid qatar emir airlin time intent book singapor airlin travel hong kong must say not disappoint servic level high suffici leg space economi agre singapor airlin best airlin,Positive
2024,5,travel via singapor airlin impress servic staff extrem help polit alway best ensur everi passeng pleasant experi flight furthermor seat comfort food happi airlin,Positive
2023,12,super friendli staff comfort seat yummi food snack anytim want would say singapor airlin world best airlin world best airlin,Positive
2024,4,read review say good airlin paid return flight first class sydney singapor upon entri no prioriti entri first busi class passeng board everyon els staff not friendli first class none perk,Negative
2024,5,usual sia high standard seat comfort crew attent flight depart late but made time howev meal far sia standard chicken noodl noodl present would expect rate back street hawker stall appet good but meal abject failur,Neutral
2024,4,flown three airlin april may singapor airlin stand even though anoth airlin flew premium economi servic staff amount divers food comfort level except excel servic,Positive
2024,5,compani show fals claim not fli compani lost lot money work arbitrarili cargo flight servic disgrac compani mistak,Negative
2024,5,tri arrang special assist flight busi full fare ticket danang zurich passeng accid emerg flight book leav within absolut imposs reach anyon sq arrang shockingli careless,Negative
2024,3,dishonest beyond belief singapor gone dog decad ago great airlin but last decad disappoint product recent flight last time ever fli singapor made seat select well ahead time never ever,Negative
2024,4,flight singapor inde flight mention herein food averag best littl alcohol offer flight entertain averag check told onward flight changi confirm staff en parsimoni arrog,Negative
2024,5,could write book bad experi flight first flight delay ok happen got singapor get second flight arriv insid plane old ladi sit seat could speak english could speak hindi horribl onboard servic,Negative
